 INFO  Accepting connections at http://localhost:8123
 HTTP  8/9/2026 9:34:36 pm ::1 GET /blog/
 HTTP  8/9/2026 9:34:36 pm ::1 Returned 304 in 2 ms
 HTTP  8/9/2026 9:34:36 pm ::1 GET /css/style.css
 HTTP  8/9/2026 9:34:36 pm ::1 GET /css/journal.css
 HTTP  8/9/2026 9:34:36 pm ::1 GET /js/journal-ui.js
 HTTP  8/9/2026 9:34:36 pm ::1 Returned 304 in 2 ms
 HTTP  8/9/2026 9:34:36 pm ::1 Returned 304 in 2 ms
 HTTP  8/9/2026 9:34:36 pm ::1 GET /js/supabase-config.js
 HTTP  8/9/2026 9:34:36 pm ::1 GET /js/supabase-client.js
 HTTP  8/9/2026 9:34:36 pm ::1 GET /js/journal-api.js
 HTTP  8/9/2026 9:34:36 pm ::1 Returned 304 in 5 ms
 HTTP  8/9/2026 9:34:36 pm ::1 Returned 304 in 4 ms
 HTTP  8/9/2026 9:34:36 pm ::1 Returned 304 in 4 ms
 HTTP  8/9/2026 9:34:36 pm ::1 GET /js/main.js
 HTTP  8/9/2026 9:34:36 pm ::1 Returned 304 in 3 ms
 HTTP  8/9/2026 9:34:36 pm ::1 Returned 304 in 1 ms
 HTTP  8/9/2026 9:35:11 pm ::1 GET /blog/
 HTTP  8/9/2026 9:35:11 pm ::1 Returned 304 in 3 ms
 HTTP  8/9/2026 9:35:11 pm ::1 GET /css/style.css
 HTTP  8/9/2026 9:35:11 pm ::1 Returned 304 in 2 ms
 HTTP  8/9/2026 9:35:11 pm ::1 GET /css/journal.css
 HTTP  8/9/2026 9:35:11 pm ::1 GET /js/supabase-config.js
 HTTP  8/9/2026 9:35:11 pm ::1 GET /js/supabase-client.js
 HTTP  8/9/2026 9:35:11 pm ::1 GET /js/journal-ui.js
 HTTP  8/9/2026 9:35:11 pm ::1 GET /js/journal-api.js
 HTTP  8/9/2026 9:35:11 pm ::1 GET /js/main.js
 HTTP  8/9/2026 9:35:11 pm ::1 Returned 304 in 4 ms
 HTTP  8/9/2026 9:35:11 pm ::1 Returned 304 in 4 ms
 HTTP  8/9/2026 9:35:11 pm ::1 Returned 304 in 3 ms
 HTTP  8/9/2026 9:35:11 pm ::1 Returned 304 in 3 ms
 HTTP  8/9/2026 9:35:11 pm ::1 Returned 304 in 3 ms
 HTTP  8/9/2026 9:35:11 pm ::1 Returned 304 in 3 ms
 HTTP  8/9/2026 9:35:58 pm ::1 GET /
 HTTP  8/9/2026 9:35:58 pm ::1 Returned 304 in 2 ms
 HTTP  8/9/2026 9:35:58 pm ::1 GET /css/style.css
 HTTP  8/9/2026 9:35:58 pm ::1 Returned 304 in 1 ms
 HTTP  8/9/2026 9:35:58 pm ::1 GET /js/supabase-config.js
 HTTP  8/9/2026 9:35:58 pm ::1 GET /js/supabase-client.js
 HTTP  8/9/2026 9:35:58 pm ::1 GET /js/journal-ui.js
 HTTP  8/9/2026 9:35:58 pm ::1 GET /js/journal-api.js
 HTTP  8/9/2026 9:35:58 pm ::1 GET /js/journal-home.js
 HTTP  8/9/2026 9:35:58 pm ::1 Returned 304 in 3 ms
 HTTP  8/9/2026 9:35:58 pm ::1 Returned 304 in 3 ms
 HTTP  8/9/2026 9:35:58 pm ::1 Returned 304 in 3 ms
 HTTP  8/9/2026 9:35:58 pm ::1 Returned 304 in 3 ms
 HTTP  8/9/2026 9:35:58 pm ::1 GET /js/main.js
 HTTP  8/9/2026 9:35:58 pm ::1 Returned 304 in 4 ms
 HTTP  8/9/2026 9:35:58 pm ::1 GET /_vercel/insights/script.js
 HTTP  8/9/2026 9:35:58 pm ::1 GET /_vercel/insights/speed.js
 HTTP  8/9/2026 9:35:58 pm ::1 Returned 200 in 19 ms
 HTTP  8/9/2026 9:35:58 pm ::1 Returned 404 in 16 ms
 HTTP  8/9/2026 9:35:58 pm ::1 Returned 404 in 17 ms
 HTTP  8/9/2026 9:36:36 pm ::1 GET /blog/
 HTTP  8/9/2026 9:36:36 pm ::1 Returned 304 in 2 ms
 HTTP  8/9/2026 9:36:36 pm ::1 GET /css/style.css
 HTTP  8/9/2026 9:36:36 pm ::1 Returned 304 in 2 ms
 HTTP  8/9/2026 9:36:36 pm ::1 GET /js/journal-api.js
 HTTP  8/9/2026 9:36:36 pm ::1 GET /css/journal.css
 HTTP  8/9/2026 9:36:36 pm ::1 GET /js/supabase-config.js
 HTTP  8/9/2026 9:36:36 pm ::1 GET /js/supabase-client.js
 HTTP  8/9/2026 9:36:36 pm ::1 GET /js/journal-ui.js
 HTTP  8/9/2026 9:36:36 pm ::1 GET /js/main.js
 HTTP  8/9/2026 9:36:36 pm ::1 Returned 304 in 6 ms
 HTTP  8/9/2026 9:36:36 pm ::1 Returned 304 in 5 ms
 HTTP  8/9/2026 9:36:36 pm ::1 Returned 304 in 4 ms
 HTTP  8/9/2026 9:36:36 pm ::1 Returned 304 in 5 ms
 HTTP  8/9/2026 9:36:36 pm ::1 Returned 304 in 6 ms
 HTTP  8/9/2026 9:36:36 pm ::1 Returned 304 in 5 ms
